Rank,City,State,Popullation,
760,Oak Park village, Illinois,"54,580",
761,Minnetonka, Minnesota,"53,794",
762,Lincoln, California,"49,747",
763,Joplin, Missouri,"51,765",
764,Grand Island, Nebraska,"53,130",
765,Cathedral, California,"51,498",
766,Edina, Minnesota,"53,487",
767,Dunwoody, Georgia,"51,667",
768,Novato, California,"53,206",
769,Battle Creek, Michigan,"52,709",
770,West New York town, New Jersey,"52,906",
771,Placentia, California,"51,814",
772,Paramount, California,"53,748",
773,Summerville town, South Carolina,"50,973",
774,Collierville town, Tennessee,"51,321",
775,Palm Desert, California,"51,167",
776,Watsonville, California,"52,595",
777,Florissant, Missouri,"52,532",
778,Rockwall, Texas,"47,307",
779,La Crosse, Wisconsin,"52,682",
780,Columbus, Indiana,"50,498",
781,Middletown, Ohio,"50,998",
782,Grapevine, Texas,"50,636",
783,Aliso Viejo, California,"52,173",
784,Harrisonburg, Virginia,"51,810",
785,Wake Forest town, North Carolina,"47,855",
786,Jeffersonville, Indiana,"49,450",
787,Mishawaka, Indiana,"51,095",
788,Troy, New York,"51,414",
789,Delano, California,"51,420",
790,Glendora, California,"52,577",
791,Burien, Washington,"52,065",
792,Newark, Ohio,"49,936",
793,Draper, Utah,"51,024",
794,Hoffman Estates village, Illinois,"52,545",
795,Cuyahoga Falls, Ohio,"51,120",
796,Enid, Oklahoma,"51,294",
797,Milford (balance), Connecticut,"50,567",
798,Harrisburg, Pennsylvania,"50,088",
799,Rosemead, California,"51,187",
800,Lakewood, Ohio,"50,929",
801,Covina, California,"51,275",
802,Murray, Utah,"50,641",
803,Downers Grove village, Illinois,"50,225",
804,Cypress, California,"50,144",
805,St. Louis Park, Minnesota,"50,005",
806,Azusa, California,"50,265",
