Rank,City,State,Popullation,
170,Surprise, Arizona,"143,158",
171,Springfield, Massachusetts,"155,931",
172,Charleston, South Carolina,"150,288",
173,Kansas, Kansas,"156,606",
174,Sunnyvale, California,"155,629",
175,Bellevue, Washington,"151,864",
176,Hollywood, Florida,"153,036",
177,Denton, Texas,"139,861",
178,Escondido, California,"151,074",
179,Joliet, Illinois,"150,374",
180,Naperville, Illinois,"149,559",
181,Bridgeport, Connecticut,"148,644",
182,Savannah, Georgia,"147,768",
183,Mesquite, Texas,"150,227",
184,Pasadena, Texas,"151,897",
185,Rockford, Illinois,"148,662",
186,Pomona, California,"151,445",
187,Jackson, Mississippi,"153,705",
188,Olathe, Kansas,"141,283",
189,Gainesville, Florida,"141,079",
190,McAllen, Texas,"142,195",
191,Syracuse, New York,"148,608",
192,Waco, Texas,"140,119",
193,Visalia, California,"141,574",
194,Thornton, Colorado,"141,862",
195,Torrance, California,"147,071",
196,Fullerton, California,"143,638",
197,Columbia, South Carolina,"136,803",
198,New Haven, Connecticut,"134,024",
199,Hampton, Virginia,"137,158",
200,Miramar, Florida,"134,706",
201,Victorville, California,"134,802",
202,Warren, Michigan,"139,398",
203,West Valley, Utah,"140,239",
204,Cedar Rapids, Iowa,"137,723",
205,Stamford, Connecticut,"135,451",
206,Orange, California,"139,902",
207,Dayton, Ohio,"137,624",
208,Midland, Texas,"132,524",
209,Kent, Washington,"136,609",
210,Elizabeth, New Jersey,"137,310",
211,Pasadena, California,"138,719",
212,Carrollton, Texas,"133,432",
213,Coral Springs, Florida,"134,396",
214,Sterling Heights, Michigan,"134,334",
215,Fargo, North Dakota,"125,952",
216,Lewisville, Texas,"125,688",
217,Meridian, Idaho,"117,713",
218,Norman, Oklahoma,"127,991",
219,Palm Bay, Florida,"119,752",
220,Athens-Clarke County unified government (balance), Georgia,"127,362",
221,Columbia, Missouri,"126,233",
222,Abilene, Texas,"125,178",
223,Pearland, Texas,"125,815",
224,Santa Clara, California,"127,861",
225,Round Rock, Texas,"119,501",
226,Topeka, Kansas,"126,601",
227,Allentown, Pennsylvania,"125,858",
228,Clovis, California,"120,160",
229,Simi Valley, California,"126,373",
230,College Station, Texas,"120,523",
231,Thousand Oaks, California,"126,968",
232,Vallejo, California,"126,083",
233,Concord, California,"125,411",
234,Rochester, Minnesota,"121,388",
235,Arvada, Colorado,"124,402",
236,Lafayette, Louisiana,"121,398",
237,Independence, Missouri,"123,004",
238,West Palm Beach, Florida,"117,315",
239,Hartford, Connecticut,"121,018",
240,Wilmington, North Carolina,"115,456",
241,Lakeland, Florida,"112,640",
242,Billings, Montana,"117,142",
243,Ann Arbor, Michigan,"123,872",
244,Fairfield, California,"119,872",
245,Berkeley, California,"124,324",
246,Richardson, Texas,"119,464",
247,North Charleston, South Carolina,"114,839",
248,Cambridge, Massachusetts,"118,395",
249,Broken Arrow, Oklahoma,"113,556",
250,Clearwater, Florida,"117,387",
251,West Jordan, Utah,"116,962",
252,Evansville, Indiana,"117,291",
253,League, Texas,"114,377",
254,Antioch, California,"115,305",
255,Manchester, New Hampshire,"115,653",
256,High Point, North Carolina,"114,117",
257,Waterbury, Connecticut,"114,455",
258,Westminster, Colorado,"116,315",
259,Richmond, California,"116,432",
260,Carlsbad, California,"114,735",
261,Las Cruces, New Mexico,"111,392",
262,Murrieta, California,"110,953",
263,Lowell, Massachusetts,"115,550",
264,Provo, Utah,"115,173",
265,Springfield, Illinois,"114,414",
266,Elgin, Illinois,"114,798",
267,Odessa, Texas,"114,452",
268,Lansing, Michigan,"112,657",
269,Pompano Beach, Florida,"112,056",
270,Beaumont, Texas,"115,268",
271,Temecula, California,"109,994",
272,Gresham, Oregon,"114,255",
